id;name;surname;birthday;died;nationality
1;EXE;EXE;2021-12-21;2021-12-20;panel calculate
2;Concrete Frozen;tangible;2021-12-21;2021-12-21;UIC-Franc
3;Concrete;Response Intuitive;2021-12-20;2021-12-20;Wooden
4;empower;Malta;2021-12-21;2021-12-21;Key copying Mall
5;Cambridgeshire Rubber solution;Cheese;2021-12-20;2021-12-21;content-based Borders Computers
6;transmitting;compressing cross-platform;2021-12-21;2021-12-21;Convertible innovate Investor
7;navigating Boliviano;pink;2021-12-21;2021-12-21;Locks
8;Buckinghamshire;killer Beauty;2021-12-20;2021-12-21;application needs-based haptic
9;Bedfordshire;Synergistic deposit invoice;2021-12-21;2021-12-21;Movies
10;Kwacha;generate Computers Ouguiya;2021-12-21;2021-12-20;Metal
